BTC Near-Resolution Monitor
==================================================
Monitoring mode: checking every 300s until 16:00 UTC

[13:07 UTC] BTC: $73,753 | Balance: $51.23
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $74,000: P(above)=34.5% vs YES=0.430 | edge_Y=-8.5% edge_N=+8.5% → NO ✓
  $76,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%

[15:43 UTC] BTC: $73,816 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $72,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $74,000: P(above)=33.3% vs YES=0.205 | edge_Y=+12.8% edge_N=-12.8% → YES ✓
  $76,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%

[15:48 UTC] BTC: $73,896 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $72,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $74,000: P(above)=38.5% vs YES=0.340 | edge_Y=+4.5% edge_N=-4.5%
  $76,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%

[15:53 UTC] BTC: $73,951 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $72,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $74,000: P(above)=42.7% vs YES=0.150 | edge_Y=+27.7% edge_N=-27.7% → YES ✓
  $76,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%

[15:58 UTC] BTC: $73,953 | Balance: $28.36

[16:03 UTC] BTC: $73,963 | Balance: $28.36
